캐릭터 ID,캐릭터 이름,캐릭터 설명,캐릭터 배경,레퍼런스 종,희귀도,타입,역할군,체력,공격력,물리 방어,마법 방어,속도,스킬 그룹 ID,리소스 ID,(이름),(전투 컨셉),(살펴볼 것)
chr_key,name,desc,story,species,rarity,type,role,hp,atk,def,mag,spd,skill_group_key,res,_name,_concept,_hold
string,string_key,string_key,string_key,string_key,enum,enum,enum,int,int,int,int,int,string,string,,,
CHR_001,CHR_001_NAME,CHR_001_DESC,CHR_001_STORY,CHR_001_SPECIES,,SEA,TRICKSTER,9,3,7,8,3,GRP_001,RES_CHR_001,"=IFERROR(VLOOKUP($B4,string!$A:$B,2,FALSE),"""")",공격 능력은 낮지만 높은 내구와 체력을 기반으로 한 자석탱,
CHR_002,CHR_002_NAME,CHR_002_DESC,CHR_002_STORY,CHR_002_SPECIES,,AIR,CHARGER,7,8,4,4,7,GRP_002,RES_CHR_002,"=IFERROR(VLOOKUP($B5,string!$A:$B,2,FALSE),"""")",우선도를 이용한 킬 캐치 능력과 흡혈을 통한 생존을 노리는 어태커,
CHR_003,CHR_003_NAME,CHR_003_DESC,CHR_003_STORY,CHR_003_SPECIES,,SEA,GUARDIAN,9,3,9,6,3,GRP_003,RES_CHR_003,"=IFERROR(VLOOKUP($B6,string!$A:$B,2,FALSE),"""")",오우거 같이 덩치큰 해양 잡몹 탱커,
CHR_004,CHR_004_NAME,CHR_004_DESC,CHR_004_STORY,CHR_004_SPECIES,,AIR,HEALER,9,5,4,7,5,GRP_004,RES_CHR_004,"=IFERROR(VLOOKUP($B7,string!$A:$B,2,FALSE),"""")",힐러 + 탱커로 아군을 회복시켜주면서 본인은 버틴다,
CHR_005,CHR_005_NAME,CHR_005_DESC,CHR_005_STORY,CHR_005_SPECIES,,LAND,HUNTER,4,9,5,3,9,GRP_005,RES_CHR_005,"=IFERROR(VLOOKUP($B8,string!$A:$B,2,FALSE),"""")",높은 스피드와 높은 공격력을 받은 대신 내구력이 미약해 다른 캐릭터의 지원이 필요한 캐릭터,
CHR_006,CHR_006_NAME,CHR_006_DESC,CHR_006_STORY,CHR_006_SPECIES,,LAND,CLOSER,7,5,6,6,6,GRP_006,RES_CHR_006,"=IFERROR(VLOOKUP($B9,string!$A:$B,2,FALSE),"""")","밸런스 있는 스텟 분배와 게임 단계에서 적, 아군 스텟 변화기 부여로 전략성 플레이 유도",
CHR_007,CHR_007_NAME,CHR_007_DESC,CHR_007_STORY,CHR_007_SPECIES,,SEA,GUARDIAN,8,7,6,6,3,GRP_007,RES_CHR_007,"=IFERROR(VLOOKUP($B10,string!$A:$B,2,FALSE),"""")","단단한 갑각과 집게에서 나오는 튼튼한 맷집과 강한 공격력, 그러나 기동성이 낮다.",
CHR_008,CHR_008_NAME,CHR_008_DESC,CHR_008_STORY,CHR_008_SPECIES,,SEA,CLOSER,6,4,8,8,4,GRP_008,RES_CHR_008,"=IFERROR(VLOOKUP($B11,string!$A:$B,2,FALSE),"""")",물을 활용한 전투 방식을 채택해 워터 배리어를 형성하여 적의 공격을 상쇄한다,
CHR_009,CHR_009_NAME,CHR_009_DESC,CHR_009_STORY,CHR_009_SPECIES,,AIR,HEALER,7,4,7,9,3,GRP_009,RES_CHR_009,"=IFERROR(VLOOKUP($B12,string!$A:$B,2,FALSE),"""")","높은 방어력을 기반한 특수형. 낮은 공격력과 느린 스피드, 투지를 다루는 까다로운 운용법.",
CHR_010,CHR_010_NAME,CHR_010_DESC,CHR_010_STORY,CHR_010_SPECIES,,AIR,CLOSER,8,3,7,6,6,GRP_010,RES_CHR_010,"=IFERROR(VLOOKUP($B13,string!$A:$B,2,FALSE),"""")",강력한 방어력을 지닌 딜러,
CHR_011,CHR_011_NAME,CHR_011_DESC,CHR_011_STORY,CHR_011_SPECIES,,AIR,CHARGER,8,8,5,3,6,GRP_011,RES_CHR_011,"=IFERROR(VLOOKUP($B14,string!$A:$B,2,FALSE),"""")",날렵한 신체와 날개를 활용한 높은 기동성과 파괴력,
CHR_012,CHR_012_NAME,CHR_012_DESC,CHR_012_STORY,CHR_012_SPECIES,,AIR,GUARDIAN,9,4,8,6,3,GRP_012,RES_CHR_012,"=IFERROR(VLOOKUP($B15,string!$A:$B,2,FALSE),"""")",탈피를 하며 강해짐,
CHR_013,CHR_013_NAME,CHR_013_DESC,CHR_013_STORY,CHR_013_SPECIES,,LAND,CLOSER,7,5,6,5,7,GRP_013,RES_CHR_013,"=IFERROR(VLOOKUP($B16,string!$A:$B,2,FALSE),"""")",디버프 흡혈 탱커,
