리소스 행 ID,리소스 ID,규격,파일 경로
id,res_key,kind,path
int,string,enum,string
1,RES_CHR_001,ST_F,img/character/CHR_001_ST_F.png
2,RES_CHR_001,ST_B,img/character/CHR_001_ST_B.png
3,RES_CHR_001,PT,img/character/CHR_001_PT.png
4,RES_CHR_002,ST_F,img/character/CHR_002_ST_F.png
5,RES_CHR_002,ST_B,img/character/CHR_002_ST_B.png
6,RES_CHR_002,PT,img/character/CHR_002_PT.png
7,RES_CHR_003,ST_F,img/character/CHR_003_ST_F.png
8,RES_CHR_003,ST_B,img/character/CHR_003_ST_B.png
9,RES_CHR_003,PT,img/character/CHR_003_PT.png
10,RES_CHR_004,ST_F,img/character/CHR_004_ST_F.png
11,RES_CHR_004,ST_B,img/character/CHR_004_ST_B.png
12,RES_CHR_004,PT,img/character/CHR_004_PT.png
13,RES_CHR_005,ST_F,img/character/CHR_005_ST_F.png
14,RES_CHR_005,ST_B,img/character/CHR_005_ST_B.png
15,RES_CHR_005,PT,img/character/CHR_005_PT.png
16,RES_CHR_006,ST_F,img/character/CHR_006_ST_F.png
17,RES_CHR_006,ST_B,img/character/CHR_006_ST_B.png
18,RES_CHR_006,PT,img/character/CHR_006_PT.png
19,RES_CHR_007,ST_F,img/character/CHR_007_ST_F.png
20,RES_CHR_007,ST_B,img/character/CHR_007_ST_B.png
21,RES_CHR_007,PT,img/character/CHR_007_PT.png
22,RES_CHR_008,ST_F,img/character/CHR_008_ST_F.png
23,RES_CHR_008,ST_B,img/character/CHR_008_ST_B.png
24,RES_CHR_008,PT,img/character/CHR_008_PT.png
25,RES_CHR_009,ST_F,img/character/CHR_009_ST_F.png
26,RES_CHR_009,ST_B,img/character/CHR_009_ST_B.png
27,RES_CHR_009,PT,img/character/CHR_009_PT.png
28,RES_CHR_010,ST_F,img/character/CHR_010_ST_F.png
29,RES_CHR_010,ST_B,img/character/CHR_010_ST_B.png
30,RES_CHR_010,PT,img/character/CHR_010_PT.png
31,RES_CHR_011,ST_F,img/character/CHR_011_ST_F.png
32,RES_CHR_011,ST_B,img/character/CHR_011_ST_B.png
