규칙 경로,값,메모
path,value,_설명
string,string,string
RULES.TEAM_SIZE,3,
RULES.ARENA_TEAM_SIZE,7,
RULES.GROW_POINTS,3,
RULES.GROW_STAT_MAX,10,
RULES.GROW_STEP_OVER,2,
RULES.PRESET_MAX,8,
RULES.SP_MAX,6,
RULES.SP_GAIN_BASIC,1,
RULES.SP_GAIN_GUARD,2,
RULES.SP_COST_DEFAULT,3,
RULES.SP_COST_MIN,1,
RULES.RAGE_PER_FALLEN,0.25,
RULES.GUARD_MULT,0.5,
RULES.ADV_MULT,1.8,
RULES.DIS_MULT,0.6,
RULES.ROUND_LIMIT,30,
RULES.PRESSURE_FROM,20,
RULES.PRESSURE_STEP,0.1,
RULES.STAT_TOTAL,30,
RULES.STAT_MIN,3,
RULES.STAT_MAX,9,
RULES.ATK_OFFSET,8,
RULES.DEFENSE_SCALE,45,
RULES.MAG_DEFENSE_SCALE,52,
RULES.HP_BASE,100,
RULES.HP_PER_POINT,8,
RULES.MAX_ACTIVE_DUELS,1,
RULES.TURN_MS,30000,
RULES.ROUND_DEADLINE_MS,3600000,
RULES.AFK_FORGIVEN,1,
RULES.ELO_START,1000,
RULES.ELO_K,32,
RULES.MATCH_SPREAD,120,
RULES.MATCH_SPREAD_PER_SEC,8,
RULES.ARENA_BANS,2,
RULES.DRAFT_BAN_MS,30000,
RULES.DRAFT_PICK_MS,45000,
RULES.ARENA_PLACEMENT,5,
RULES.ARENA_MIN_RANKED,2,
RULES.ARENA_DEMOTE_GRACE,15,
RULES.ELO_K_PLACEMENT,64,
RULES.TOURNEY_MAX,32,한 방에 받는 참가자 수
RULES.TOURNEY_MIN,2,이만큼 안 모이면 시작 못 한다
RULES.TOURNEY_NAME_MAX,24,방 이름 길이
RULES.AFK_GRACE_MS,90000,이 안에 본 적이 있으면 자리비움을 안 매긴다
COEF.WILD.basic,3.6,
COEF.WILD.ultimate,7.2,
COEF.ARCANE.basic,3.6,
COEF.ARCANE.ultimate,7.2,
COEF.DIVINE.basic,1.8,
COEF.DIVINE.ultimate,3.6,
POWER_SCALE.0,0,위력단계 0
POWER_SCALE.1,0.3,위력단계 1
POWER_SCALE.2,0.5,위력단계 2
POWER_SCALE.3,0.7,위력단계 3
POWER_SCALE.4,0.85,위력단계 4
POWER_SCALE.5,1,위력단계 5
POWER_SCALE.6,1.15,위력단계 6
POWER_SCALE.7,1.3,위력단계 7
POWER_SCALE.8,1.45,위력단계 8
POWER_SCALE.9,1.6,위력단계 9
POWER_SCALE.10,1.75,위력단계 10
SKILL_SPEED.MIN,-3,
SKILL_SPEED.MAX,3,
SKILL_SPEED.TIER_TRADE,1,
ARENA_CUTS.0,0.05,티어 경계 1
ARENA_CUTS.1,0.2,티어 경계 2
ARENA_CUTS.2,0.55,티어 경계 3
ARENA_CUTS.3,0.85,티어 경계 4
TYPE_BEATS.LAND,AIR,이 타입을 이긴다
TYPE_BEATS.SEA,LAND,이 타입을 이긴다
TYPE_BEATS.AIR,SEA,이 타입을 이긴다
ELEMENT_ATTACK.WILD,atk,공격이 보는 능력치
ELEMENT_ATTACK.ARCANE,mag,공격이 보는 능력치
ELEMENT_ATTACK.DIVINE,atk,공격이 보는 능력치
ELEMENT_DEFENSE.WILD,def,막는 능력치. 비면 아무것도 안 막는다
ELEMENT_DEFENSE.ARCANE,mag,막는 능력치. 비면 아무것도 안 막는다
ELEMENT_DEFENSE.DIVINE,,막는 능력치. 비면 아무것도 안 막는다
