스킬 ID,기술 이름,기술 설명,기술 종류,속성,대상,위력,속도 보정,투지 소모,허용 초과,효과 그룹,(이름),(초안),(캐릭터),(원안),(살펴볼 것)
skill_key,name,desc,slot,element,target,tier,speed,sp_cost,waive,effect_group,_name,_draft,_owner,_source,_hint
string,string_key,string_key,enum,enum,enum,int,int,int,int,string,,,,,
SKL_1001,SKL_1001_NAME,SKL_1001_DESC,basic,DIVINE,enemy_one,2,-3,,,EFG_1001,"=IFERROR(VLOOKUP($B4,string!$A:$B,2,FALSE),"""")",초안,CHR_001,최대 체력의 45프로를 회복한다,
SKL_5001,SKL_5001_NAME,SKL_5001_DESC,ultimate,DIVINE,enemy_all,9,0,3,19,EFG_5001,"=IFERROR(VLOOKUP($B5,string!$A:$B,2,FALSE),"""")",초안,CHR_001,잃은 체력에 비례한 데미지를 적 전원에게 분배하여 가한 뒤 사망,
SKL_7001,SKL_7001_NAME,SKL_7001_DESC,passive,,self,0,-3,,,EFG_7001,"=IFERROR(VLOOKUP($B6,string!$A:$B,2,FALSE),"""")",초안,CHR_001,상대 '육' 타입 로켓몬의 공격을 대신 맞는다,
SKL_1002,SKL_1002_NAME,SKL_1002_DESC,basic,WILD,enemy_one,6,0,,,EFG_1002,"=IFERROR(VLOOKUP($B7,string!$A:$B,2,FALSE),"""")",초안,CHR_002,"적 1명에게 공격, 투지 획득",
SKL_5002,SKL_5002_NAME,SKL_5002_DESC,ultimate,DIVINE,enemy_weakest,6,1,3,,EFG_5002,"=IFERROR(VLOOKUP($B8,string!$A:$B,2,FALSE),"""")",초안,CHR_002,가장 약한 적 1명에게 흡혈 (우선도 + 1),우선 · 예산 밖 drain
SKL_7002,SKL_7002_NAME,SKL_7002_DESC,passive,,self,0,,,,EFG_7002,"=IFERROR(VLOOKUP($B9,string!$A:$B,2,FALSE),"""")",초안,CHR_002,체력이 100% 이상이라면 공격에 우선도 + 1,우선 · 조건 hp_full
SKL_1003,SKL_1003_NAME,SKL_1003_DESC,basic,WILD,enemy_one,6,0,,,EFG_1003,"=IFERROR(VLOOKUP($B10,string!$A:$B,2,FALSE),"""")",초안,CHR_003,강력한 양손 타격으로 상대방 스턴 2초,초 단위 — 턴제라 버린다 · 예산 밖 stun
SKL_5003,SKL_5003_NAME,SKL_5003_DESC,ultimate,ARCANE,enemy_all,3,0,4,,EFG_5003,"=IFERROR(VLOOKUP($B11,string!$A:$B,2,FALSE),"""")",초안,CHR_003,독성 먹물구름을뿜어 연막을 칠수 있다.,중독 → 출혈 · 예산 밖 blind
SKL_7003,SKL_7003_NAME,SKL_7003_DESC,passive,,self,0,,,,EFG_7003,"=IFERROR(VLOOKUP($B12,string!$A:$B,2,FALSE),"""")",초안,CHR_003,몸의 점액이 날카로운 날붙이 공격으로부터 몸을 보호한다.,
SKL_1004,SKL_1004_NAME,SKL_1004_DESC,basic,ARCANE,enemy_one,4,-3,,,EFG_1004,"=IFERROR(VLOOKUP($B13,string!$A:$B,2,FALSE),"""")",초안,CHR_004,아군 로캣몬 1기를 치유한다,
SKL_5004,SKL_5004_NAME,SKL_5004_DESC,ultimate,DIVINE,ally_all,0,-3,3,,EFG_5004,"=IFERROR(VLOOKUP($B14,string!$A:$B,2,FALSE),"""")",초안,CHR_004,"아군 로캣몬 전체 회복 및 물리 방어력, 마법 방어력 1랭크 증가",예산 밖 boost
SKL_7004,SKL_7004_NAME,SKL_7004_DESC,passive,,self,0,-3,,,EFG_7004,"=IFERROR(VLOOKUP($B15,string!$A:$B,2,FALSE),"""")",초안,CHR_004,기절을 제외한 모든 디버프를 무시한다,면역
SKL_1005,SKL_1005_NAME,SKL_1005_DESC,basic,WILD,enemy_one,9,0,,,EFG_1005,"=IFERROR(VLOOKUP($B16,string!$A:$B,2,FALSE),"""")",,CHR_005,"적 1명에게 높은 피해, 자신의 공격 1 증가",
SKL_5005,SKL_5005_NAME,SKL_5005_DESC,ultimate,WILD,enemy_one,9,0,3,,EFG_5005,"=IFERROR(VLOOKUP($B17,string!$A:$B,2,FALSE),"""")",초안,CHR_005,적 1명에게 지금까지 받은 대미지 만큼 공격,
SKL_7005,SKL_7005_NAME,SKL_7005_DESC,passive,,self,0,,,,EFG_7005,"=IFERROR(VLOOKUP($B18,string!$A:$B,2,FALSE),"""")",초안,CHR_005,적이 기술을 사용하기 전에 공격하면 침묵을 부여한다,
SKL_1006,SKL_1006_NAME,SKL_1006_DESC,basic,ARCANE,enemy_one,8,0,,,EFG_1006,"=IFERROR(VLOOKUP($B19,string!$A:$B,2,FALSE),"""")",초안,CHR_006,"적 1명에게 피해, 받는 피해 증가 부여",
SKL_5006,SKL_5006_NAME,SKL_5006_DESC,ultimate,WILD,enemy_all,5,0,4,,EFG_5006,"=IFERROR(VLOOKUP($B20,string!$A:$B,2,FALSE),"""")",초안,CHR_006,아군 로캣몬 모든 스텟 증가 + 2,예산 밖 boost boost boost
SKL_7006,SKL_7006_NAME,SKL_7006_DESC,passive,,self,0,,,,EFG_7006,"=IFERROR(VLOOKUP($B21,string!$A:$B,2,FALSE),"""")",초안,CHR_006,혼자 남으면 모든 스테이터스가 3턴간 2배 증가,예산 밖 boost boost
SKL_1007,SKL_1007_NAME,SKL_1007_DESC,basic,WILD,enemy_one,6,0,,,EFG_1007,"=IFERROR(VLOOKUP($B22,string!$A:$B,2,FALSE),"""")",초안,CHR_007,적 1명 대상으로 공격,
SKL_5007,SKL_5007_NAME,SKL_5007_DESC,ultimate,WILD,enemy_one,7,0,2,,EFG_5007,"=IFERROR(VLOOKUP($B23,string!$A:$B,2,FALSE),"""")",초안,CHR_007,"적 1명에게 높은 피해, 대상의 물리 방어 -2",
SKL_7007,SKL_7007_NAME,SKL_7007_DESC,passive,,self,0,,,,EFG_7007,"=IFERROR(VLOOKUP($B24,string!$A:$B,2,FALSE),"""")",초안,CHR_007,전투 시작 시 물리 방어 +2,전투 시작 시 — 8단계 필요
SKL_1008,SKL_1008_NAME,SKL_1008_DESC,basic,DIVINE,enemy_one,5,0,,9,EFG_1008,"=IFERROR(VLOOKUP($B25,string!$A:$B,2,FALSE),"""")",초안,CHR_008,물을 뿜어 데미지를 주고 적의 물리 및 마법 방어를 1씩 낮춘다,
SKL_5008,SKL_5008_NAME,SKL_5008_DESC,ultimate,DIVINE,enemy_all,5,0,4,,EFG_5008,"=IFERROR(VLOOKUP($B26,string!$A:$B,2,FALSE),"""")",초안,CHR_008,5턴 동안 상태 이상 면역,면역
SKL_7008,SKL_7008_NAME,SKL_7008_DESC,passive,,self,0,,,,EFG_7008,"=IFERROR(VLOOKUP($B27,string!$A:$B,2,FALSE),"""")",초안,CHR_008,체력이 50% 이하 일 때 자신의 공격력이 1감소하고 물리 및 마법 방어가 2씩 상승한다,예산 밖 boost
SKL_1009,SKL_1009_NAME,SKL_1009_DESC,basic,DIVINE,enemy_one,1,-3,,,EFG_1009,"=IFERROR(VLOOKUP($B28,string!$A:$B,2,FALSE),"""")",초안,CHR_009,"적 지정 기본 공격, 투지 흡수",
SKL_5009,SKL_5009_NAME,SKL_5009_DESC,ultimate,DIVINE,ally_all,0,3,3,,EFG_5009,"=IFERROR(VLOOKUP($B29,string!$A:$B,2,FALSE),"""")",초안,CHR_009,"아군이 1명 쓰러진 후 사용 가능하다. (우선도+1)
지정한 아군을 각성시키고, 보유한 투지를 나눠준다.(자신 지정 시 변동X)",우선 · 조건 ally_fallen
SKL_7009,SKL_7009_NAME,SKL_7009_DESC,passive,,self,0,-3,,,EFG_7009,"=IFERROR(VLOOKUP($B30,string!$A:$B,2,FALSE),"""")",초안,CHR_009,"마노가 존재하는 전투에서, 투지를 회복하는 로캣몬은 회복한 투지만큼 체력 회복.(1당 5%)",
SKL_1010,SKL_1010_NAME,SKL_1010_DESC,basic,ARCANE,enemy_one,4,0,,,EFG_1010,"=IFERROR(VLOOKUP($B31,string!$A:$B,2,FALSE),"""")",초안,CHR_010,방어력 2 자신에게 부여 1턴,
SKL_5010,SKL_5010_NAME,SKL_5010_DESC,ultimate,ARCANE,enemy_one,5,0,4,31,EFG_5010,"=IFERROR(VLOOKUP($B32,string!$A:$B,2,FALSE),"""")",초안,CHR_010,2턴간 적 전체 공격력 1 방어력 1 저하,예산 밖 boost boost
SKL_7010,SKL_7010_NAME,SKL_7010_DESC,passive,,self,0,,,,EFG_7010,"=IFERROR(VLOOKUP($B33,string!$A:$B,2,FALSE),"""")",초안,CHR_010,체력 50%이하시 공격력 1 방어력 2 부여,
SKL_1011,SKL_1011_NAME,SKL_1011_DESC,basic,WILD,enemy_one,7,0,,,EFG_1011,"=IFERROR(VLOOKUP($B34,string!$A:$B,2,FALSE),"""")",,CHR_011,자신의 이동속도를 2 올려 적을 공격한다,
SKL_5011,SKL_5011_NAME,SKL_5011_DESC,ultimate,DIVINE,enemy_one,5,0,3,,EFG_5011,"=IFERROR(VLOOKUP($B35,string!$A:$B,2,FALSE),"""")",초안,CHR_011,높이 뛰어올라 적에게 높은 데미지를 주고 한 턴 기절시킨다,
SKL_7011,SKL_7011_NAME,SKL_7011_DESC,passive,,self,0,,,,EFG_7011,"=IFERROR(VLOOKUP($B36,string!$A:$B,2,FALSE),"""")",초안,CHR_011,전투 시작 시 높은 확률로 적의 방어력을 2 낮춘다,전투 시작 시 — 8단계 필요
SKL_1012,SKL_1012_NAME,SKL_1012_DESC,basic,ARCANE,enemy_weakest,5,0,,,EFG_1012,"=IFERROR(VLOOKUP($B37,string!$A:$B,2,FALSE),"""")",초안,CHR_012,"가장 약한 적에게 공격, 이 공격으로 체력이 15% 아래가 되면 처형",
SKL_5012,SKL_5012_NAME,SKL_5012_DESC,ultimate,ARCANE,enemy_one,6,0,5,,EFG_5012,"=IFERROR(VLOOKUP($B38,string!$A:$B,2,FALSE),"""")",초안,CHR_012,"물리 방어가 약간 감소하는 대신, 공격력이 크게 증가한다.",
SKL_7012,SKL_7012_NAME,SKL_7012_DESC,passive,,enemy_one,0,,,,EFG_7012,"=IFERROR(VLOOKUP($B39,string!$A:$B,2,FALSE),"""")",초안,CHR_012,전투 시작 시 모든 적에게 침묵 2 부여,전투 시작 시 — 8단계 필요 · 예산 밖 silence
SKL_1013,SKL_1013_NAME,SKL_1013_DESC,basic,WILD,enemy_one,6,0,,,EFG_1013,"=IFERROR(VLOOKUP($B40,string!$A:$B,2,FALSE),"""")",,CHR_013,"적을 흡혈하여 공격력 디버프-1
자신 속도 -1 자신 힐",예산 밖 drain
SKL_5013,SKL_5013_NAME,SKL_5013_DESC,ultimate,WILD,enemy_one,7,0,3,,EFG_5013,"=IFERROR(VLOOKUP($B41,string!$A:$B,2,FALSE),"""")",초안,CHR_013,"딸피 적 강력한 딜
처치 시 체력 회복 (빠름 +2)",조건 target_hp_below · 단계 ON_KILL
SKL_7013,SKL_7013_NAME,SKL_7013_DESC,passive,,enemy_one,0,,,,EFG_7013,"=IFERROR(VLOOKUP($B42,string!$A:$B,2,FALSE),"""")",초안,CHR_013,최대체력 이상 회복 시 공격력 증가,
SKL_1014,SKL_1014_NAME,SKL_1014_DESC,basic,ARCANE,enemy_one,7,0,,,EFG_1014,"=IFERROR(VLOOKUP($B43,string!$A:$B,2,FALSE),"""")",초안,CHR_014,적 한명을 지정하여 3턴간 일반기를 사용할 수 없게 만든다. 상대 로켓몬 중 속박 중인 로켓몬이 1기 이상 존재한다면 사용 불가,
SKL_5014,SKL_5014_NAME,SKL_5014_DESC,ultimate,ARCANE,enemy_all,6,0,4,,EFG_5014,"=IFERROR(VLOOKUP($B44,string!$A:$B,2,FALSE),"""")",초안,CHR_014,속박' 기술의 사용 제한이 3턴간 '1기 이상' 에서 '2기 이상'으로 완화된다.,
SKL_7014,SKL_7014_NAME,SKL_7014_DESC,passive,,self,0,,,,EFG_7014,"=IFERROR(VLOOKUP($B45,string!$A:$B,2,FALSE),"""")",초안,CHR_014,주변의 누군가가 체력을 회복할 때마다 그 회복량의 20%만큼 자신의 체력을 회복합니다.,
SKL_1015,SKL_1015_NAME,SKL_1015_DESC,basic,WILD,enemy_one,7,0,,,EFG_1015,"=IFERROR(VLOOKUP($B46,string!$A:$B,2,FALSE),"""")",초안,CHR_015,"적 1명에게 물리피해를준다, 30%의 확률로 출혈을 부여한다",확률 30%
SKL_5015,SKL_5015_NAME,SKL_5015_DESC,ultimate,WILD,enemy_one,8,0,3,1,EFG_5015,"=IFERROR(VLOOKUP($B47,string!$A:$B,2,FALSE),"""")",초안,CHR_015,상대방의 속도와 무관하게 선제공격권을 가진다 (투지3),우선
SKL_7015,SKL_7015_NAME,SKL_7015_DESC,passive,,self,0,,,,EFG_7015,"=IFERROR(VLOOKUP($B48,string!$A:$B,2,FALSE),"""")",초안,CHR_015,나와 같은 SEA속성에 입히는 데미지가 30%증가한다,조건 same_type
SKL_1016,SKL_1016_NAME,SKL_1016_DESC,basic,DIVINE,enemy_one,4,-3,,,EFG_1016,"=IFERROR(VLOOKUP($B49,string!$A:$B,2,FALSE),"""")",초안,CHR_016,주먹으로 때려 적1기 에게 (??)의피해를 준다,
SKL_5016,SKL_5016_NAME,SKL_5016_DESC,ultimate,DIVINE,ally_all,0,-3,3,,EFG_5016,"=IFERROR(VLOOKUP($B50,string!$A:$B,2,FALSE),"""")",,CHR_016,2턴간 자신이 받는 피해 30% 감소,예산 밖 amplify
SKL_7016,SKL_7016_NAME,SKL_7016_DESC,passive,,self,0,-3,,,EFG_7016,"=IFERROR(VLOOKUP($B51,string!$A:$B,2,FALSE),"""")",초안,CHR_016,턴마다 잃은 체력의 5% 회복,
SKL_1017,SKL_1017_NAME,SKL_1017_DESC,basic,ARCANE,enemy_one,4,0,,1,EFG_1017,"=IFERROR(VLOOKUP($B52,string!$A:$B,2,FALSE),"""")",초안,CHR_017,적중당한 상대의 공격력을 1 깍는다,
SKL_5017,SKL_5017_NAME,SKL_5017_DESC,ultimate,ARCANE,ally_all,0,0,3,,EFG_5017,"=IFERROR(VLOOKUP($B53,string!$A:$B,2,FALSE),"""")",초안,CHR_017,이번턴에 공격당하면 데미지를 받는 대신 데미지의 절반만큼 회복한다,
SKL_7017,SKL_7017_NAME,SKL_7017_DESC,passive,,self,0,,,,EFG_7017,"=IFERROR(VLOOKUP($B54,string!$A:$B,2,FALSE),"""")",초안,CHR_017,상성 배율을 절반만 받는다. 유리도 불리도 덜 탄다,
SKL_1018,SKL_1018_NAME,SKL_1018_DESC,basic,WILD,enemy_one,9,0,,1,EFG_1018,"=IFERROR(VLOOKUP($B55,string!$A:$B,2,FALSE),"""")",초안,CHR_018,적 1명 대상으로 공격,
SKL_5018,SKL_5018_NAME,SKL_5018_DESC,ultimate,ARCANE,enemy_one,8,0,4,,EFG_5018,"=IFERROR(VLOOKUP($B56,string!$A:$B,2,FALSE),"""")",초안,CHR_018,"적 1명 대상으로 공격, '대상 체력 낮음' 일 경우 매우 높은 피해",조건 target_hp_below
SKL_7018,SKL_7018_NAME,SKL_7018_DESC,passive,,self,0,,,,EFG_7018,"=IFERROR(VLOOKUP($B57,string!$A:$B,2,FALSE),"""")",초안,CHR_018,자신보다 속도가 낮은 적에게 공격 받을 시 받는 피해량 0.8배,조건 faster_than_target
SKL_1019,SKL_1019_NAME,SKL_1019_DESC,basic,WILD,enemy_one,6,0,,,EFG_1019,"=IFERROR(VLOOKUP($B58,string!$A:$B,2,FALSE),"""")",초안,CHR_019,5초간 공격속도 두배 증가,초 단위 — 턴제라 버린다
SKL_5019,SKL_5019_NAME,SKL_5019_DESC,ultimate,WILD,enemy_all,3,0,3,,EFG_5019,"=IFERROR(VLOOKUP($B59,string!$A:$B,2,FALSE),"""")",초안,CHR_019,5초간 좁은 틈을 통과할수있다.,초 단위 — 턴제라 버린다
SKL_7019,SKL_7019_NAME,SKL_7019_DESC,passive,,self,0,,,,EFG_7019,"=IFERROR(VLOOKUP($B60,string!$A:$B,2,FALSE),"""")",초안,CHR_019,공격속도가 느린 공격은 몸을 이루는 벌레가 흩어져서 피한다.,조건 faster_than_target
SKL_1020,SKL_1020_NAME,SKL_1020_DESC,basic,WILD,enemy_one,7,0,,,EFG_1020,"=IFERROR(VLOOKUP($B61,string!$A:$B,2,FALSE),"""")",초안,CHR_020,적 1명에게 단일 관통공격,
SKL_5020,SKL_5020_NAME,SKL_5020_DESC,ultimate,DIVINE,enemy_one,8,0,3,,EFG_5020,"=IFERROR(VLOOKUP($B62,string!$A:$B,2,FALSE),"""")",초안,CHR_020,"""내 체력 낮음"" 상태일 경우 다음 턴 무적 (오마카세)",조건 hp_below
