효과 ID,효과 그룹,순서,키워드,등급,대상 스탯,얹는 편,확률,조건,조건 인자,역방향,트리거,한 번만,(초안),(원안),(면역 예외)
id,effect_group,seq,kw,grade,stat,side,chance,cond,cond_arg,down,trigger,once,_draft,_source,except
int,string,int,enum,int,enum,enum,int,enum,string,bool,enum,bool,,,enum
10011,EFG_1001,1,heal,2,,self,,,,,,,초안,최대 체력의 45프로를 회복한다,
50011,EFG_5001,1,retire,1,,,,,,,,,초안,잃은 체력에 비례한 데미지를 적 전원에게 분배하여 가한 뒤 사망,
10021,EFG_1002,1,charge,1,,,,,,,,,초안,"적 1명에게 공격, 투지 획득",
50021,EFG_5002,1,drain,2,,,,,,,,,초안 · 예산 밖 drain,가장 약한 적 1명에게 흡혈 (우선도 + 1),
50031,EFG_5003,1,bleed,2,,,,,,,,,초안 · 예산 밖 blind,독성 먹물구름을뿜어 연막을 칠수 있다.,
50032,EFG_5003,2,shield,4,,self,,,,,,,,독성 먹물구름을뿜어 연막을 칠수 있다.,
10041,EFG_1004,1,heal,3,,ally_weakest,,,,,,,초안,아군 로캣몬 1기를 치유한다,
50041,EFG_5004,1,heal,4,,,,,,,,,초안 · 예산 밖 boost,"아군 로캣몬 전체 회복 및 물리 방어력, 마법 방어력 1랭크 증가",
50042,EFG_5004,2,shield,3,,,,,,,,,초안 · 예산 밖 boost,"아군 로캣몬 전체 회복 및 물리 방어력, 마법 방어력 1랭크 증가",
10061,EFG_1006,1,mark,1,,,,,,,,,초안,"적 1명에게 피해, 받는 피해 증가 부여",
50071,EFG_5007,1,boost,4,def,,,,,y,,,초안,"적 1명에게 높은 피해, 대상의 물리 방어 -2",
70071,EFG_7007,1,shield,2,,,,,,,on_hurt,,초안,전투 시작 시 물리 방어 +2,
10081,EFG_1008,1,boost,1,def,,,,,y,,,초안,물을 뿜어 데미지를 주고 적의 물리 및 마법 방어를 1씩 낮춘다,
10091,EFG_1009,1,siphon,1,,,,,,,,,초안,"적 지정 기본 공격, 투지 흡수",
10092,EFG_1009,2,charge,1,,,,,,,,,초안,"적 지정 기본 공격, 투지 흡수",
50091,EFG_5009,1,boost,3,atk,,,ally_fallen,,,,,초안,"아군이 1명 쓰러진 후 사용 가능하다. (우선도+1)
지정한 아군을 각성시키고, 보유한 투지를 나눠준다.(자신 지정 시 변동X)",
50092,EFG_5009,2,gift,2,,,,ally_fallen,,,,,초안,"아군이 1명 쓰러진 후 사용 가능하다. (우선도+1)
지정한 아군을 각성시키고, 보유한 투지를 나눠준다.(자신 지정 시 변동X)",
10101,EFG_1010,2,boost,2,def,self,,,,,,,초안,방어력 2 자신에게 부여 1턴,
50111,EFG_5011,1,stun,1,,,,,,,,,초안,높이 뛰어올라 적에게 높은 데미지를 주고 한 턴 기절시킨다,
10121,EFG_1012,1,execute,1,,,,,,,,,초안,"가장 약한 적에게 공격, 이 공격으로 체력이 15% 아래가 되면 처형",
