스킬 그룹 ID,그룹 키,기본기 1,기본기 2,특수기,패시브,(캐릭터)
id,group_key,basic1,basic2,ultimate,passive,_owner
int,string,string,string,string,string,
10001,GRP_001,SKL_1001,SKL_2001,SKL_5001,SKL_7001,CHR_001
10002,GRP_002,SKL_1002,SKL_2002,SKL_5002,SKL_7002,CHR_002
10003,GRP_003,SKL_1003,SKL_2003,SKL_5003,SKL_7003,CHR_003
10004,GRP_004,SKL_1004,SKL_2004,SKL_5004,SKL_7004,CHR_004
10005,GRP_005,SKL_1005,SKL_2005,SKL_5005,SKL_7005,CHR_005
10006,GRP_006,SKL_1006,SKL_2006,SKL_5006,SKL_7006,CHR_006
10007,GRP_007,SKL_1007,SKL_2007,SKL_5007,SKL_7007,CHR_007
10008,GRP_008,SKL_1008,SKL_2008,SKL_5008,SKL_7008,CHR_008
10009,GRP_009,SKL_1009,SKL_2009,SKL_5009,SKL_7009,CHR_009
10010,GRP_010,SKL_1010,SKL_2010,SKL_5010,SKL_7010,CHR_010
10011,GRP_011,SKL_1011,SKL_2011,SKL_5011,SKL_7011,CHR_011
10012,GRP_012,SKL_1012,SKL_2012,SKL_5012,SKL_7012,CHR_012
10013,GRP_013,SKL_1013,SKL_2013,SKL_5013,SKL_7013,CHR_013
10014,GRP_014,SKL_1014,SKL_2014,SKL_5014,SKL_7014,CHR_014
10015,GRP_015,SKL_1015,SKL_2015,SKL_5015,SKL_7015,CHR_015
10016,GRP_016,SKL_1016,SKL_2016,SKL_5016,SKL_7016,CHR_016
10017,GRP_017,SKL_1017,SKL_2017,SKL_5017,SKL_7017,CHR_017
10018,GRP_018,SKL_1018,SKL_2018,SKL_5018,SKL_7018,CHR_018
10019,GRP_019,SKL_1019,SKL_2019,SKL_5019,SKL_7019,CHR_019
10020,GRP_020,SKL_1020,SKL_2020,SKL_5020,SKL_7020,CHR_020
10021,GRP_021,SKL_1021,SKL_2021,SKL_5021,SKL_7021,CHR_021
10022,GRP_022,SKL_1022,SKL_2022,SKL_5022,SKL_7022,CHR_022
10023,GRP_023,SKL_1023,SKL_2023,SKL_5023,SKL_7023,CHR_023
10024,GRP_024,SKL_1024,SKL_2024,SKL_5024,SKL_7024,CHR_024
10025,GRP_025,SKL_1025,SKL_2025,SKL_5025,SKL_7025,CHR_025
10026,GRP_026,SKL_1026,SKL_2026,SKL_5026,SKL_7026,CHR_026
10027,GRP_027,SKL_1027,SKL_2027,SKL_5027,SKL_7027,CHR_027
10028,GRP_028,SKL_1028,SKL_2028,SKL_5028,SKL_7028,CHR_028
10029,GRP_029,SKL_1029,SKL_2029,SKL_5029,SKL_7029,CHR_029
10030,GRP_030,SKL_1030,SKL_2030,SKL_5030,SKL_7030,CHR_030
10031,GRP_031,SKL_1031,SKL_2031,SKL_5031,SKL_7031,CHR_031
10032,GRP_032,SKL_1032,SKL_2032,SKL_5032,SKL_7032,CHR_032
10033,GRP_033,SKL_1033,SKL_2033,SKL_5033,SKL_7033,CHR_033
10034,GRP_034,SKL_1034,SKL_2034,SKL_5034,SKL_7034,CHR_034
10035,GRP_035,SKL_1035,SKL_2035,SKL_5035,SKL_7035,CHR_035
10036,GRP_036,SKL_1036,SKL_2036,SKL_5036,SKL_7036,CHR_036
10037,GRP_037,SKL_1037,SKL_2037,SKL_5037,SKL_7037,CHR_037
10038,GRP_038,SKL_1038,SKL_2038,SKL_5038,SKL_7038,CHR_038
10039,GRP_039,SKL_1039,SKL_2039,SKL_5039,SKL_7039,CHR_039
10040,GRP_040,SKL_1040,SKL_2040,SKL_5040,SKL_7040,CHR_040
10041,GRP_041,SKL_1041,SKL_2041,SKL_5041,SKL_7041,CHR_041
10042,GRP_042,SKL_1042,SKL_2042,SKL_5042,SKL_7042,CHR_042
