스트링 ID,국문,영문
string_key,ko,en
string,string,string
SKL_1001_NAME,자연치유,
SKL_1001_DESC,"적 하나에게 약한 피해를 입히고, 자신의 체력을 최대치의 {e1_ratio:pct}만큼 회복합니다.",
SKL_5001_NAME,자폭,
SKL_5001_DESC,"자신의 남은 체력에 비례해 최대 {e2_bonus:pct}까지 피해량이 증가한 뒤, 적 전체에게 치명적인 피해를 입힙니다. 그 뒤 스스로 전투불능이 됩니다.",
SKL_7001_NAME,늪의 살갗,
SKL_7001_DESC,{e1_when_type} 타입에게 피해를 입으면 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 얻습니다.,
CHR_001_NAME,괴룸파,
CHR_001_DESC,시비르기 마을 뒤쪽 늪지엔 어디선가 본 거 같은 우파루파 수인이 살고있다,
CHR_001_STORY,시비르기 마을 근처 이리마을에 사는 고양이 수인인 괴렘을 보고 인간화 했다는 소문이 있는 정체 불명의 수인이다,
CHR_001_SPECIES,우파루파,
SKL_1002_NAME,에어 클로,
SKL_1002_DESC,적 하나에게 피해를 입힌 뒤 투지를 {e1_amount} 획득합니다.,
SKL_5002_NAME,포식,
SKL_5002_DESC,"체력이 가장 낮은 적에게 잃은 체력에 비례해 최대 {e2_bonus:pct}까지 늘어난 피해를 입히고, 가한 피해의 {e1_ratio:pct}만큼 자신의 체력을 회복합니다.",
SKL_7002_NAME,질풍날개,
SKL_7002_DESC,"전투 개시 시 {e1_turns}턴간 속도와 무관하게 먼저 행동합니다. 가하는 피해량이 보유한 투지에 비례해 최대 {e2_bonus:pct} 증가하며, 투지를 쓰는 기술은 쓰기 전의 투지로 셉니다.",
CHR_002_NAME,네벨라,Nebella
CHR_002_DESC,북부의 모험가 이야기 中 '만약 북부의 설산에서 밤에 당신을 바라보는 흰 눈동자와 마주쳤다면 그저 즉사를 기도하는 것 말곤 무의미 할 것이다.',
CHR_002_STORY,"북부 설산에서 발견된 수인. 굉장히 호전적인 모습을 보이며 조난당한 수인, 인간을 습격하는 사건이 잦았다. 모험가들에게 토벌되어 붙잡힌 뒤 북부의 불법 지하 결투장에서부터 몬스터로 활동하게 된다.",
CHR_002_SPECIES,누에나방,
SKL_1003_NAME,거대한 주먹,
SKL_1003_DESC,적 하나에게 피해를 입히고 자신의 투지를 {e1_amount} 획득합니다.,
SKL_5003_NAME,바다의 독,
SKL_5003_DESC,적 전체에게 약한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다. 자신은 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 얻습니다.,
SKL_7003_NAME,점액 보호막,
SKL_7003_DESC,매 라운드 개시 시 면역을 얻어 {e1_turns}턴간 해로운 상태에 걸리지 않습니다.,
CHR_003_NAME,누디안,Nudibranch
CHR_003_DESC,화려한 색채와 부드러운 외형 속에 강력한 육체를 숨긴 갯민숭달팽이 수인 격투가.,
CHR_003_STORY,누디안은 갯민숭달팽이 특유의 화려한 색과 말미잘 같은 아가미를 지닌 해양계 수인이다. 칠성장어 같은 위협적인 원형 입을 숨기고 있으며 키가 3미터 가까이 되며 근육질이여서 격투 싸움을 잘하여 오우거 같은 실루엣을 가지고 있다.,
CHR_003_SPECIES,갯민숭달팽이,
SKL_1004_NAME,치유의 빛,
SKL_1004_DESC,"적 하나에게 약한 피해를 입히고, 체력이 가장 낮은 아군의 체력을 최대치의 {e1_ratio:pct}만큼 회복시킵니다.",
SKL_5004_NAME,생츄어리,
SKL_5004_DESC,"아군 전체의 체력을 최대치의 {e1_ratio:pct}만큼 회복시키고, {e2_turns}턴간 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 부여합니다.",
SKL_7004_NAME,수호,
SKL_7004_DESC,자신의 체력이 {e1_when_ratio:pct} 미만이면 매 라운드 개시 시 면역을 얻습니다. 면역이 걸린 {e1_turns}턴 동안에는 기절을 제외한 해로운 상태에 걸리지 않습니다.,
CHR_004_NAME,라피엘,Lapiel
CHR_004_DESC,신성에 가장 가깝다고 여겨지는 수수께끼의 몬스터,
CHR_004_STORY,다른 생물을 극도로 경계하여 알려진 정보가 거의 없다. 생명이 위태로운 생물 앞에 나타나 따스한 빛으로 상처를 치료한다고 한다. 치료가 끝나면 어디론가 사라지기 때문에 온전한 모습을 목격한 이는 매우 드물다. 이러한 모습으로 인해 예로부터 가장 신성에 가까운 생물이라고 여겨졌다.,
CHR_004_SPECIES,토끼,
SKL_1005_NAME,목 긋기,
SKL_1005_DESC,"적 하나에게 치명적인 피해를 입히고, {e1_turns}턴간 자신의 공격력을 {e1_amount} 증가시킵니다. 그 대상은 {e2_turns}턴간 특수기 사용이 봉인됩니다.",
SKL_5005_NAME,복수,
SKL_5005_DESC,적 하나에게 치명적인 피해를 입힙니다. 자신의 체력이 {e1_when_ratio:pct} 미만이면 이 피해가 {e1_mult}배로 늘어납니다.,
SKL_7005_NAME,교활한 쥐,
SKL_7005_DESC,"적을 쓰러뜨릴 때마다 투지를 {e1_amount} 획득하고, {e2_turns}턴간 속도와 무관하게 먼저 행동합니다.",
CHR_005_NAME,로데레,Rodere
CHR_005_DESC,비밀스럽고 교활하며 예측하기 힘든 쥐 수인,
CHR_005_STORY,"생존을 위해서라면 수단과 방법을 가리지 않는다, 쥐 처럼 재빠르고 교활하다, 조금의 금전적인 문제로 로캣에 참여하게 된다",
CHR_005_SPECIES,쥐,
SKL_1006_NAME,물어 뜯기,
SKL_1006_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 그 대상이 받는 피해량을 {e1_ratio:pct} 증가시킵니다.",
SKL_5006_NAME,최후의 포효,
SKL_5006_DESC,"적 전체에게 피해를 입히고, 대상 최대 체력의 {e1_ratio:pct}만큼을 방어와 무관한 고정 피해로 더합니다.",
SKL_7006_NAME,우두머리,
SKL_7006_DESC,아군이 쓰러질 때마다 전투가 끝날 때까지 체력 상한과 공격력과 방어력이 각각 {e1_amount} 증가합니다.,
CHR_006_NAME,로페스,Lopus
CHR_006_DESC,우두머리를 노리는 베테랑 늑대 수인,
CHR_006_STORY,로캣에서 자신의 능력을 보여 늑대 수인들의 우두머리로 인정받으려 한다 늑대의 하울링은 아군의 사기를 올리고 적의 사기를 떨어뜨린다,
CHR_006_SPECIES,늑대,
SKL_1007_NAME,자르기,
SKL_1007_DESC,"적 하나에게 피해를 입히고, {e1_turns}턴간 그 대상의 방어력을 {e1_amount_abs} 감소시킵니다.",
SKL_5007_NAME,박살,
SKL_5007_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 그 대상의 방어력을 {e1_amount_abs} 감소시킵니다.",
SKL_7007_NAME,단단한 갑각,
SKL_7007_DESC,피해를 입을 때마다 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 얻습니다.,
CHR_007_NAME,롭,Lob
CHR_007_DESC,거대한 집게로 자르고 박살낸다.,
CHR_007_STORY,"롭의 날카로운 집게는 적을 잘라내며, 단단한 갑각은 공격을 방어한다. 또한 롭은 유사시에 집게를 둔기로 활용하기도 한다.",
CHR_007_SPECIES,바닷가재,
SKL_1008_NAME,물뿜기,
SKL_1008_DESC,"적 하나에게 방어력과 무관한 피해를 입히고, {e1_turns}턴간 그 대상의 방어력을 {e1_amount_abs} 감소시킵니다.",
SKL_5008_NAME,신의 물결,
SKL_5008_DESC,"적 전체에게 방어력과 무관한 피해를 입히고, {e1_turns}턴간 받는 회복량을 {e1_ratio:pct}로 줄입니다.",
SKL_7008_NAME,잔잔한 바다,
SKL_7008_DESC,자신의 체력이 최대치인 동안에는 가하는 피해량이 {e1_mult}배가 됩니다.,
CHR_008_NAME,루미,Lumi
CHR_008_DESC,바다를 관장하는 신의 아이,
CHR_008_STORY,바다에 쓰레기를 버리는 나쁜 인간들을 물리치기 위해 깊은 잠에서 깨어났다,
CHR_008_SPECIES,글라우쿠스 아틀란티쿠스,
SKL_1009_NAME,들숨,
SKL_1009_DESC,적 하나에게 약한 피해를 입히고 대상의 투지를 {e1_amount} 감소시킵니다. 그 뒤 자신은 투지를 {e2_amount} 획득합니다.,
SKL_5009_NAME,날숨,
SKL_5009_DESC,"아군이 1기 이상 전투불능일 때만 사용할 수 있습니다. 아군 전체의 공격력을 {e1_turns}턴간 {e1_amount} 증가시키고, 투지를 {e2_amount} 획득합니다.",
SKL_7009_NAME,유희,
SKL_7009_DESC,매 라운드 개시 시 투지를 {e1_amount} 획득합니다. 자신의 투지가 {e2_when_amount} 이상이면 자신의 체력을 최대치의 {e2_ratio:pct}만큼 함께 회복합니다.,
CHR_009_NAME,마노,Mano
CHR_009_DESC,구름 위의 권태롭고 지고한 존재,
CHR_009_STORY,긴 동면에서 깨어난 마노. 바뀐 시대에서 가장 놀라운건 로캣대회였다. 그 대회가 이렇게 변하다니. 상상도 못했던 일이지. 마노는 친히 새로운 시대의 존재들과 어울려보기로 했다. 자신을 이긴 이에게는 친히 얼굴을 보이고 공을 치하할 것이다.,
CHR_009_SPECIES,날도마뱀,
SKL_1010_NAME,장갑 강화,
SKL_1010_DESC,"적 하나를 {e1_hits}회 연속으로 타격하며, 타격마다 약한 피해를 입힙니다. 그 뒤 {e2_turns}턴간 자신의 방어력을 {e2_amount} 증가시킵니다.",
SKL_5010_NAME,전탄 발사,
SKL_5010_DESC,"적 하나를 {e1_hits}회 연속으로 타격하며, 타격마다 피해를 입힙니다.",
SKL_7010_NAME,증폭 장갑,
SKL_7010_DESC,자신에게 걸린 이로운 상태 하나마다 자신이 입히는 피해량이 {e1_per:pct}씩 증가합니다.,
CHR_010_NAME,메카리스,Mecaris
CHR_010_DESC,"어느 실험실에서 태어난 기계괴수, 이 괴물이 폭주하여 연구실에서 나온다 과연 이 미친 괴수를 막을자 누구인가",
CHR_010_STORY,실험실에서 태어난 괴수병기 였으나 어느날 폭주하여 연구실을 괴멸 시키고 탈출하였다. 탈출 후 폭주 상태는 안정화 되었으나 그 폭주사태 이후로 이 기계 괴수는 점점 미쳐버려 피와 분노에 빠져들었다,
CHR_010_SPECIES,귀상어 · 인간 · 매,
SKL_1011_NAME,뿔 치기,
SKL_1011_DESC,적 하나에게 강한 피해를 입힙니다.,
SKL_5011_NAME,왕의 도약,
SKL_5011_DESC,적 하나에게 피해를 입히고 {e1_turns}턴간 행동 불능 상태로 만듭니다.,
SKL_7011_NAME,갑각,
SKL_7011_DESC,매 라운드 개시 시 버팀을 얻습니다. 버팀으로 견뎌 내면 {e2_turns}턴간 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 얻습니다.,
CHR_011_NAME,버그킹,Bugking
CHR_011_DESC,벌레 군집의 왕,
CHR_011_STORY,아포칼립스 세계의 진화한 벌레들중에 가장 강한 우두머리가 되기 위한 한 장수풍뎅이의 여정,
CHR_011_SPECIES,장수풍뎅이 · 잠자리 · 개미,
SKL_1012_NAME,약자멸시,
SKL_1012_DESC,"대상이 잃은 체력에 비례해 최대 {e1_bonus:pct}까지 피해량이 증가한 뒤, 체력이 가장 낮은 적에게 피해를 입힙니다.",
SKL_5012_NAME,탈피,
SKL_5012_DESC,"적 하나에게 피해를 입히고, {e1_turns}턴간 자신의 마력을 {e1_amount} 증가시키며 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 얻습니다.",
SKL_7012_NAME,위화감,
SKL_7012_DESC,매 라운드 개시 시 상대 진영 선두에 침묵을 부여하여 {e1_turns}턴간 특수기 사용을 봉인합니다.,
CHR_012_NAME,벨제버브,Beelzebub
CHR_012_DESC,화합을 거부하는 악당 로캣몬,
CHR_012_STORY,"수없이 많은 탈피를 거듭하며 강력한 힘을 손에 넣은 갑옷 파리 로캣몬. 화합을 거부하며 새로운 세력 제옥제국을 세우고, 황제를 참칭하고 있다.",
CHR_012_SPECIES,파리,
SKL_1013_NAME,마구 흡혈,
SKL_1013_DESC,"적 하나에게 피해를 입히고 대상 최대 체력의 {e2_ratio:pct}만큼을 방어와 무관한 고정 피해로 더합니다. 가한 피해의 {e1_ratio:pct}만큼 자신의 체력을 회복하는 대신, {e3_turns}턴간 자신의 속도가 {e3_amount_abs} 감소합니다.",
SKL_5013_NAME,만찬 시간!,
SKL_5013_DESC,"적 하나에게 강한 피해를 입히고, 대상 최대 체력의 {e1_ratio:pct}만큼을 방어와 무관한 고정 피해로 더합니다.",
SKL_7013_NAME,배불러..,
SKL_7013_DESC,피해를 입힌 대상의 공격력을 {e1_turns}턴간 {e1_amount_abs} 감소시킵니다.,
CHR_013_NAME,비대온,Bidaeon
CHR_013_DESC,세상 모든 피를 빨겠따!,
CHR_013_STORY,"어릴 적 흡혈 충동을 참지 못하여 피를 보면 무작정 달려들어 사고를 많이 쳤다, 어느 날, 지나가던 행인과 다툼이 있고 난 후 충동을 어떻게 해소할까 고민을 가지게 되었는데 로켓 배틀 방송을 보고 이거라면 다양한 피를 합법적으로 맛볼 수 있다는 사실을 알게 되었고, 로벳 배틀에 참가하게 되는 계기가 되었다. 세상 모든 피를 맛보기 위해서.",
CHR_013_SPECIES,빈대,
SKL_1014_NAME,속박,
SKL_1014_DESC,적 하나에게 강한 피해를 입히고 {e1_turns}턴간 특수기 사용을 봉인합니다.,
SKL_5014_NAME,또속박,
SKL_5014_DESC,"적 전체에게 피해를 입히고 {e1_turns}턴간 특수기 사용을 봉인하며, {e2_turns}턴간 속도를 {e2_amount_abs} 감소시킵니다.",
SKL_7014_NAME,스며드는 물살,
SKL_7014_DESC,자신의 공격은 대상의 보호막을 지나쳐 체력을 직접 깎습니다.,
CHR_014_NAME,삼치,
CHR_014_DESC,심해 바닥에서 종일 서 있는 물고기,
CHR_014_STORY,바다 밑바닥에서 때를 기다리는 캐릭터. 마을에서도 가만히 기다리고만 있다.,
CHR_014_SPECIES,세발치,
SKL_1015_NAME,깨물기,
SKL_1015_DESC,적 하나에게 강한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_5015_NAME,신속한 사냥,
SKL_5015_DESC,"대상이 출혈 중이면 피해량이 {e1_mult}배로 늘어난 뒤, 적 하나에게 강한 피해를 입힙니다.",
SKL_7015_NAME,피의 흥분,
SKL_7015_DESC,출혈 중인 대상에게는 가하는 피해량이 {e1_mult}배가 됩니다. 또한 출혈을 부여할 때마다 그 대상에게 이미 걸린 출혈의 지속도 함께 늘어납니다.,
CHR_015_NAME,샤키아,Shakira
CHR_015_DESC,"사나운 상어의 본능을 타고났지만, 칭찬에는 꼬리가 먼저 흔들리는 귀여운 바다의 포식자.",
CHR_015_STORY,겉보기에는 차갑고 무서워 보이지만 실제로는 칭찬에 약하고 쉽게 당황하는 순수한 성격의 소유자다. 특히 경기에서 흥분하면 본능적으로 꼬리를 크게 흔들거나 상대를 집요하게 쫓아가는 습관이 있다.,
CHR_015_SPECIES,상어,
SKL_1016_NAME,자애의 주먹,
SKL_1016_DESC,"적 하나에게 약한 피해를 입히고, {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 얻습니다.",
SKL_5016_NAME,인내,
SKL_5016_DESC,"아군 전체에게 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 부여하고, {e2_turns}턴간 공격력을 {e2_amount} 증가시킵니다.",
SKL_7016_NAME,신념,
SKL_7016_DESC,자신이 보호막을 두르고 있으면 자신이 입히는 피해량이 {e1_mult}배가 됩니다.,
CHR_016_NAME,센주아나,San Juana
CHR_016_DESC,신성력을 가진 주먹으로 때리는 하이에나,
CHR_016_STORY,깨달음을 얻고 아프리카에서 수련을 통해 변화했다,
CHR_016_SPECIES,하이에나,
SKL_1017_NAME,평화의 노래,
SKL_1017_DESC,"적 하나에게 약한 피해를 입히고, {e1_turns}턴간 그 대상의 공격력을 {e1_amount_abs} 감소시킵니다. 자신의 투지를 {e2_amount} 획득합니다.",
SKL_5017_NAME,잎새의 보호,
SKL_5017_DESC,"아군 전체의 체력을 최대치의 {e1_ratio:pct}만큼 회복시키고, {e2_turns}턴간 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 부여합니다.",
SKL_7017_NAME,생명 친화,
SKL_7017_DESC,타입 상성 배율을 {e1_ratio:pct}만 적용받습니다. 유리한 상성과 불리한 상성 양쪽에 적용됩니다.,
CHR_017_NAME,셰일,Shail
CHR_017_DESC,자연과 소통하는 숲의 대리인,
CHR_017_STORY,"숲 속에 은거하며 자연을 섬기며 살아가는 존재. 방문자의 요청으로 세상 나들이를 나오게 되었고, 접수처의 착각으로 경기에 참가되었다.",
CHR_017_SPECIES,사슴,
SKL_1018_NAME,할퀴기,
SKL_1018_DESC,적 하나에게 치명적인 피해를 입힙니다.,
SKL_5018_NAME,낚아채기,
SKL_5018_DESC,"대상의 체력이 {e1_when_ratio:pct} 미만이면 피해량이 {e1_mult}배로 늘어난 뒤, 적 하나에게 강한 피해를 입힙니다.",
SKL_7018_NAME,맹금류의 민첩성,
SKL_7018_DESC,"전투가 끝날 때까지 간파를 얻습니다. 자신보다 느린 대상에게는 가하는 피해량이 {e2_mult}배가 되고, 그 대상에게서 받는 피해량은 {e3_mult}배가 됩니다.",
CHR_018_NAME,수리,Quila
CHR_018_DESC,하늘의 암살자,
CHR_018_STORY,"수리는 민첩한 움직임으로 적을 낚아채고, 날카롭고 강력한 발톱으로 적을 공격한다.",
CHR_018_SPECIES,흰머리수리,
SKL_1019_NAME,망령 강타,
SKL_1019_DESC,적 하나에게 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_5019_NAME,망령의 전진,
SKL_5019_DESC,적 전체에게 약한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_7019_NAME,흩어지는 신체,
SKL_7019_DESC,자신의 속도가 대상보다 높을 때는 그 대상에게서 받는 피해량이 {e1_mult}배가 됩니다. 출혈 중인 대상을 때리면 가한 피해의 {e2_ratio:pct}만큼 자신의 체력을 회복합니다.,
CHR_019_NAME,스웜 레이쓰,Swarm Wraith
CHR_019_DESC,수천의 날벌레가 하나의 신체가 되어 경기장을 뒤덮는 군집형 수인,
CHR_019_STORY,"스웜 레이쓰는 수많은 작은 날벌레가 하나의 의식을 공유하며 신체를 이룬 수인이다. 위협을 느끼면 몸을 이루던 군체를 흩뜨려 공격을 피하고, 다시 거대한 형상으로 뭉치는 독특한 능력을 지녔다. 군체의 변화무쌍한 움직임을 무기로 사용하는 공중 타입 선수로 활약하고 있다.",
CHR_019_SPECIES,날벌레 군체,
SKL_1020_NAME,급강하,
SKL_1020_DESC,대상 방어력의 {e1_ratio:pct}를 무시하고 적 하나에게 강한 피해를 입힙니다.,
SKL_5020_NAME,풍신소녀,
SKL_5020_DESC,적 하나에게 방어력과 무관한 강한 피해를 입힙니다.,
SKL_7020_NAME,편지왔습니다!,
SKL_7020_DESC,매 라운드 개시 시 상대 진영 선두의 속도를 {e1_turns}턴간 {e1_amount_abs} 감소시킵니다.,
CHR_020_NAME,스위피,Swipy
CHR_020_DESC,바람보다 빠르게! 인연을 이어주는 쾌활한 공중 배달부.,
CHR_020_STORY,"스위피는 빠른 비행을 꿈꾸며, 하늘길로 소식과 물자를 전하는 젊은 배달부다. 누군가의 감정이 담겨있는 편지, 물자와 독보적인 비행능력으로 낯선 지역을 누비며, 사람들에게 소식을 전해준다. 위기 앞에서도 환한 미소를 잃지 않지만, 누군가의 메시지가 끝내 도착하지 못하는 일만큼은 절대 용납하지 않는다.",
CHR_020_SPECIES,칼새,
SKL_1021_NAME,유희,
SKL_1021_DESC,적 하나에게 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_5021_NAME,꿰뚫기,
SKL_5021_DESC,대상 방어력의 {e1_ratio:pct}를 무시하고 적 하나에게 강한 피해를 입힙니다.,
SKL_7021_NAME,가학성,
SKL_7021_DESC,출혈이 걸린 적에게 가하는 피해량이 {e1_mult}배가 됩니다.,
CHR_021_NAME,스콜라,Schola
CHR_021_DESC,치명적인 독을 품고 있는 전갈 여왕,
CHR_021_STORY,"최상위 포식자로 군림하고 있는 전갈 여왕, 수많은 탈피를 거쳐서 전갈에 특성을 유지한 채 인간형으로 진화했다 꼬리를 이용한 공격을 마무리에 이용하며, 극독에 중독되면 치명적이다 차가운 태도와 도도한 모습으로 다니며, 사냥감이 독에 중독되는 모습을 즐긴다.",
CHR_021_SPECIES,전갈,
SKL_1022_NAME,심해의 부름,
SKL_1022_DESC,"대상 방어력의 {e1_ratio:pct}를 무시하고 적 하나에게 강한 피해를 입힌 뒤, 가한 피해의 {e2_ratio:pct}만큼 자신의 체력을 회복합니다. 그와 함께 자신에게 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e3_amount}의 고정 피해를 {e3_turns}턴간 입힙니다.",
SKL_5022_NAME,강림,
SKL_5022_DESC,"자신에게 걸린 출혈 1점마다 피해량이 {e1_per:pct}씩 늘어난 뒤, 자신을 제외한 전장 전체에게 강한 피해를 입힙니다. 아군도 대상에 포함됩니다.",
SKL_7022_NAME,이형의 존재,
SKL_7022_DESC,"자신이 받는 출혈 피해가 {e1_mult}배로 줄어들고, 자신에게 걸리는 출혈은 지속이 끝나지 않습니다.",
CHR_022_NAME,시엘라,Siella
CHR_022_DESC,..................뻐....끔....,
CHR_022_STORY,어느날 갑자기 깊은 심해에서 나타난 신비로운 여자 아이 말수가 적은 편이다. 은상어 모티브,
CHR_022_SPECIES,은상어 · 클리오네,
SKL_1023_NAME,찰싹 때리기,
SKL_1023_DESC,"적 하나에게 약한 피해를 입히고, {e1_turns}턴간 그 대상의 속도를 {e1_amount_abs} 감소시킵니다. 자신은 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 얻습니다.",
SKL_5023_NAME,마비 방출,
SKL_5023_DESC,적 전체에게 약한 피해를 입히고 {e1_chance}% 확률로 1턴간 행동 불능 상태로 만듭니다.,
SKL_7023_NAME,물컹거리는 몸,
SKL_7023_DESC,자신에게 날아온 공격이 {e1_when_element} 속성이면 받는 피해량이 {e1_mult}배가 됩니다.,
CHR_023_NAME,아우렐라 & 펠리아,Aurela & Pellia
CHR_023_DESC,하나 처럼 움직이는 해파리 자매,
CHR_023_STORY,"마비 능력을 이용해 깊은 바다로 내려가려하는 사람들을 해안가로 되돌려 놓거나 얕은 해안가에서 사람들의 다리에 마비를 거는 장난을 자주치는 사고뭉치 해파리 자매. 사람들을 마음대로 괴롭혀도 된다는 말에 혹해 재미를 찾아 로캣으로 오게 된다. 파란색이 동생 아우렐라, 분홍색이 언니 펠리아 이다.",
CHR_023_SPECIES,해파리,
SKL_1024_NAME,타락의 빛,
SKL_1024_DESC,"대상 방어력의 {e1_ratio:pct}를 무시하고 적 하나에게 치명적인 피해를 입힌 뒤, {e2_turns}턴간 특수기 사용을 봉인합니다.",
SKL_5024_NAME,심판의 창,
SKL_5024_DESC,적 전체에게 강한 피해를 입히고 {e1_turns}턴간 행동 불능 상태로 만듭니다.,
SKL_7024_NAME,한정된 시간,
SKL_7024_DESC,{e1_when_round}라운드부터는 매 라운드 개시 시 스스로 물러나 전투불능이 됩니다.,
CHR_024_NAME,아젤리아,Azalea
CHR_024_DESC,타락한 힘에 몸을 맡긴 백조,
CHR_024_STORY,"검게 물든 깃과 손목의 사슬은 빌려 쓴 힘이 남긴 자국이다. 그 힘은 오래가지 않아서, 일곱 라운드가 지나면 스스로 스러진다.",
CHR_024_SPECIES,백조,
SKL_1025_NAME,범고래 슬래쉬,
SKL_1025_DESC,적 하나에게 치명적인 피해를 입힙니다.,
SKL_5025_NAME,범고래 스트라이크,
SKL_5025_DESC,"대상이 잃은 체력에 비례해 최대 {e1_bonus:pct}까지 피해량이 증가한 뒤, 적 하나에게 피해를 입힙니다.",
SKL_7025_NAME,리커버리,
SKL_7025_DESC,전장에서 로캣몬이 전투불능이 될 때마다 자신의 체력을 최대치의 {e1_ratio:pct}만큼 회복합니다.,
CHR_025_NAME,알코,Alco
CHR_025_DESC,바다의 무법자,
CHR_025_STORY,내가 바로 대해적 알코! 나는 자비가 없지! 조심하라고!,
CHR_025_SPECIES,범고래,
SKL_1026_NAME,포식,
SKL_1026_DESC,"적 하나에게 피해를 입히고, 가한 피해의 {e1_ratio:pct}만큼 자신의 체력을 회복합니다. 이어서 {e2_turns}턴간 그 대상이 받는 회복량을 {e2_ratio:pct}로 줄입니다.",
SKL_5026_NAME,고대의 포효,
SKL_5026_DESC,"적 전체에게 약한 피해를 입히고, {e1_turns}턴간 공격력을 {e1_amount_abs} 감소시킵니다. 가한 피해의 {e2_ratio:pct}만큼 자신의 체력을 회복합니다.",
SKL_7026_NAME,원시의 포식,
SKL_7026_DESC,"피해를 입을 때마다 전투가 끝날 때까지 자신의 공격력이 {e1_amount}, 방어력이 {e2_amount} 증가합니다. 각각 {e1_upto}까지 쌓입니다.",
CHR_026_NAME,암카라시,amkalasi
CHR_026_DESC,고대 괴물 로캣몬,
CHR_026_STORY,잠드러있던 전설이 인간들에 의해서 깨어난다 고대 바다의 지배자인 암카라시는 강력한 갑피와 심해에서도 먹이를 찾아 헤메며 상어류 로캣몬 기가로돈을 포식했다고도 전해진다. 강력한 생멸력을 갖춘존재이며 어둠에서 갑자기 나타나 사냥한다고 전해진다 존재를 알아차렸다면 이미 늦은것,
CHR_026_SPECIES,향유고래 · 범고래 · 백상아리,
SKL_1027_NAME,독니 찌르기,
